Nome,Serie,Turma,Matematica,Portugues,Historia,Geografia,Fisica,Quimica,Biologia,Media
Ana Beatriz Souza,1º Ano,A,7.5,8.0,6.5,7.0,5.5,6.0,8.5,7.0
Bruno Carvalho Lima,1º Ano,A,5.0,6.5,7.0,8.0,4.5,5.5,6.0,6.1
Carla Mendes Rocha,1º Ano,A,9.0,8.5,9.5,8.0,9.0,8.5,9.0,8.8
Daniel Oliveira Pinto,1º Ano,B,6.0,5.5,6.0,7.5,5.0,6.5,7.0,6.2
Eduarda Ferreira Alves,1º Ano,B,8.0,9.0,8.5,7.5,7.0,8.0,8.5,8.1
Felipe Santos Barbosa,1º Ano,B,4.5,5.0,6.0,5.5,4.0,4.5,5.0,4.9
Gabriela Costa Dias,1º Ano,C,7.0,7.5,8.0,8.5,6.5,7.0,7.5,7.4
Henrique Almeida Moraes,1º Ano,C,6.5,6.0,5.5,6.0,7.0,6.5,6.0,6.2
Isabela Ribeiro Gomes,1º Ano,C,8.5,9.0,8.0,9.0,8.5,9.0,8.5,8.6
João Pedro Martins,2º Ano,A,5.5,6.0,6.5,7.0,5.0,5.5,6.0,5.9
Larissa Nunes Cardoso,2º Ano,A,9.5,9.0,9.0,8.5,9.5,9.0,9.5,9.1
Lucas Araujo Teixeira,2º Ano,A,6.0,5.5,7.0,6.5,5.5,6.0,6.5,6.1
Mariana Lopes Freitas,2º Ano,B,7.5,8.0,7.5,8.0,7.0,7.5,8.0,7.6
Matheus Castro Ramos,2º Ano,B,4.0,5.0,5.5,4.5,3.5,4.0,5.0,4.5
Natalia Correia Pires,2º Ano,B,8.0,8.5,9.0,8.0,7.5,8.0,8.5,8.2
Otavio Monteiro Silva,2º Ano,C,6.5,7.0,6.0,7.5,6.0,6.5,7.0,6.6
Patricia Vieira Nogueira,2º Ano,C,7.0,7.5,8.0,7.0,6.5,7.0,7.5,7.2
Rafael Duarte Campos,2º Ano,C,5.0,4.5,5.5,6.0,4.0,5.0,5.5,5.1
Sofia Cunha Batista,3º Ano,A,9.0,9.5,9.0,9.5,9.0,9.5,9.0,9.2
Thiago Reis Fonseca,3º Ano,A,6.0,6.5,7.0,6.5,5.5,6.0,6.5,6.3
Valentina Moreira Pacheco,3º Ano,A,8.5,8.0,8.5,8.0,8.0,8.5,8.0,8.2
William Tavares Macedo,3º Ano,B,5.5,5.0,6.0,5.5,5.0,5.5,6.0,5.5
Yasmin Cavalcanti Lira,3º Ano,B,7.5,8.0,7.0,7.5,7.0,7.5,8.0,7.5
Arthur Brandao Peixoto,3º Ano,B,6.5,6.0,6.5,7.0,6.0,6.5,7.0,6.5
Beatriz Antunes Sales,3º Ano,C,8.0,8.5,9.0,8.5,7.5,8.0,8.5,8.3
Caio Figueiredo Neves,1º Ano,A,4.5,5.5,5.0,4.5,4.0,4.5,5.0,4.7
Debora Marques Xavier,1º Ano,B,7.0,7.5,7.0,8.0,6.5,7.0,7.5,7.2
Enzo Cardoso Vasconcelos,1º Ano,C,8.5,8.0,8.5,9.0,8.0,8.5,9.0,8.5
Fernanda Aguiar Sampaio,2º Ano,A,6.0,6.5,6.0,6.5,5.5,6.0,6.5,6.1
Gustavo Borges Siqueira,2º Ano,B,5.0,4.5,5.5,5.0,4.5,5.0,5.5,5.0
Helena Pereira Fogaca,2º Ano,C,9.0,9.0,8.5,9.0,8.5,9.0,9.0,8.9
Igor Mendonca Bittencourt,3º Ano,A,6.5,7.0,6.5,7.0,6.0,6.5,7.0,6.6
Julia Andrade Quintana,3º Ano,B,8.0,8.5,8.0,8.5,7.5,8.0,8.5,8.1
Kevin Rocha Magalhaes,3º Ano,C,5.5,5.0,6.0,5.5,5.0,5.5,6.0,5.5
Leticia Barros Sarmento,1º Ano,A,7.5,8.0,7.5,8.0,7.0,7.5,8.0,7.6
Murilo Guimaraes Bastos,1º Ano,B,4.0,4.5,5.0,4.0,3.5,4.0,4.5,4.2
Nicole Carvalho Padilha,1º Ano,C,8.5,9.0,8.5,9.0,8.0,8.5,9.0,8.6
Pedro Henrique Couto,2º Ano,A,6.0,5.5,6.5,6.0,5.5,6.0,6.5,6.0
Rebeca Fernandes Lacerda,2º Ano,B,7.0,7.5,7.0,7.5,6.5,7.0,7.5,7.1
Samuel Azevedo Toledo,2º Ano,C,5.0,5.5,5.0,5.5,4.5,5.0,5.5,5.1
